date,price,lag1,lag2,lag3
2025-05-17 20:00:00,165.9394166641985,167.76812404954248,168.75269732863256,176.45507175799847
2025-05-18 20:00:00,171.54067495745267,165.9394166641985,167.76812404954248,168.75269732863256
2025-05-19 20:00:00,166.7148813421899,171.54067495745267,165.9394166641985,167.76812404954248
2025-05-20 20:00:00,168.38572912424627,166.7148813421899,171.54067495745267,165.9394166641985
2025-05-21 20:00:00,173.96771434765478,168.38572912424627,166.7148813421899,171.54067495745267
2025-05-22 20:00:00,179.57884486750282,173.96771434765478,168.38572912424627,166.7148813421899
2025-05-23 20:00:00,174.43566967519817,179.57884486750282,173.96771434765478,168.38572912424627
2025-05-24 20:00:00,175.9976176396849,174.43566967519817,179.57884486750282,173.96771434765478
2025-05-25 20:00:00,175.13203918726265,175.9976176396849,174.43566967519817,179.57884486750282
2025-05-26 20:00:00,174.71672204451494,175.13203918726265,175.9976176396849,174.43566967519817
2025-05-27 20:00:00,176.57784495904014,174.71672204451494,175.13203918726265,175.9976176396849
2025-05-28 20:00:00,172.12073410994773,176.57784495904014,174.71672204451494,175.13203918726265
2025-05-29 20:00:00,166.83894593726552,172.12073410994773,176.57784495904014,174.71672204451494
2025-05-30 20:00:00,156.51262963204462,166.83894593726552,172.12073410994773,176.57784495904014
2025-05-31 20:00:00,156.86968538083693,156.51262963204462,166.83894593726552,172.12073410994773
2025-06-01 20:00:00,157.63092185153255,156.86968538083693,156.51262963204462,166.83894593726552
2025-06-02 20:00:00,156.97126157615844,157.63092185153255,156.86968538083693,156.51262963204462
2025-06-03 20:00:00,155.57609294535118,156.97126157615844,157.63092185153255,156.86968538083693
2025-06-04 20:00:00,153.52933334658826,155.57609294535118,156.97126157615844,157.63092185153255
2025-06-05 20:00:00,144.54778524030908,153.52933334658826,155.57609294535118,156.97126157615844
2025-06-06 20:00:00,148.27289869882955,144.54778524030908,153.52933334658826,155.57609294535118
2025-06-07 20:00:00,150.07536034230216,148.27289869882955,144.54778524030908,153.52933334658826
2025-06-08 20:00:00,152.50446458828966,150.07536034230216,148.27289869882955,144.54778524030908
2025-06-09 20:00:00,161.15980951265985,152.50446458828966,150.07536034230216,148.27289869882955
2025-06-10 20:00:00,164.9644225697288,161.15980951265985,152.50446458828966,150.07536034230216
2025-06-11 20:00:00,161.01986639557893,164.9644225697288,161.15980951265985,152.50446458828966
2025-06-12 20:00:00,152.6604566097001,161.01986639557893,164.9644225697288,161.15980951265985
2025-06-13 20:00:00,148.53042859104298,152.6604566097001,161.01986639557893,164.9644225697288
2025-06-14 20:00:00,144.75154594223267,148.53042859104298,152.6604566097001,161.01986639557893
2025-06-15 20:00:00,152.684889859998,144.75154594223267,148.53042859104298,152.6604566097001
2025-06-16 20:00:00,151.43554856186984,152.684889859998,144.75154594223267,148.53042859104298
2025-06-17 20:00:00,147.99188434299543,151.43554856186984,152.684889859998,144.75154594223267
2025-06-18 20:00:00,146.27697674399295,147.99188434299543,151.43554856186984,152.684889859998
2025-06-19 20:00:00,147.09924520457085,146.27697674399295,147.99188434299543,151.43554856186984
2025-06-20 20:00:00,140.04009054961782,147.09924520457085,146.27697674399295,147.99188434299543
2025-06-21 20:00:00,133.71000196412658,140.04009054961782,147.09924520457085,146.27697674399295
2025-06-22 20:00:00,131.8134744866569,133.71000196412658,140.04009054961782,147.09924520457085
2025-06-23 20:00:00,144.7815680115998,131.8134744866569,133.71000196412658,140.04009054961782
2025-06-24 20:00:00,145.8019507474219,144.7815680115998,131.8134744866569,133.71000196412658
2025-06-25 20:00:00,143.37011953879949,145.8019507474219,144.7815680115998,131.8134744866569
2025-06-26 20:00:00,138.97799072607012,143.37011953879949,145.8019507474219,144.7815680115998
2025-06-27 20:00:00,142.12675809713753,138.97799072607012,143.37011953879949,145.8019507474219
2025-06-28 20:00:00,150.7812372563586,142.12675809713753,138.97799072607012,143.37011953879949
2025-06-29 20:00:00,153.31879559308874,150.7812372563586,142.12675809713753,138.97799072607012
2025-06-30 20:00:00,154.9374500694811,153.31879559308874,150.7812372563586,142.12675809713753
2025-07-01 20:00:00,146.84115991278014,154.9374500694811,153.31879559308874,150.7812372563586
2025-07-02 20:00:00,152.1680329188485,146.84115991278014,154.9374500694811,153.31879559308874
2025-07-03 20:00:00,152.28063806980848,152.1680329188485,146.84115991278014,154.9374500694811
2025-07-04 20:00:00,147.76302956048175,152.28063806980848,152.1680329188485,146.84115991278014
2025-07-05 20:00:00,147.60067170952217,147.76302956048175,152.28063806980848,152.1680329188485
2025-07-06 20:00:00,151.92103968743746,147.60067170952217,147.76302956048175,152.28063806980848
2025-07-07 20:00:00,148.79005045485957,151.92103968743746,147.60067170952217,147.76302956048175
2025-07-08 20:00:00,151.83083400485827,148.79005045485957,151.92103968743746,147.60067170952217
2025-07-09 20:00:00,157.20772193763892,151.83083400485827,148.79005045485957,151.92103968743746
2025-07-10 20:00:00,163.85821380442644,157.20772193763892,151.83083400485827,148.79005045485957
2025-07-11 20:00:00,162.75319398002793,163.85821380442644,157.20772193763892,151.83083400485827
2025-07-12 20:00:00,160.46917812212587,162.75319398002793,163.85821380442644,157.20772193763892
2025-07-13 20:00:00,161.2426294578984,160.46917812212587,162.75319398002793,163.85821380442644
2025-07-14 20:00:00,162.28222240485653,161.2426294578984,160.46917812212587,162.75319398002793
2025-07-15 20:00:00,163.96583057213138,162.28222240485653,161.2426294578984,160.46917812212587
2025-07-16 20:00:00,173.8289647474319,163.96583057213138,162.28222240485653,161.2426294578984
