date,price,lag1,lag2,lag3
2025-05-17 20:00:00,103212.36483885496,103556.03493982446,103708.85136423641,103594.42575090709
2025-05-18 20:00:00,106030.6376831359,103212.36483885496,103556.03493982446,103708.85136423641
2025-05-19 20:00:00,105629.41580436694,106030.6376831359,103212.36483885496,103556.03493982446
2025-05-20 20:00:00,106786.71995834043,105629.41580436694,106030.6376831359,103212.36483885496
2025-05-21 20:00:00,109665.86371625263,106786.71995834043,105629.41580436694,106030.6376831359
2025-05-22 20:00:00,111560.356938144,109665.86371625263,106786.71995834043,105629.41580436694
2025-05-23 20:00:00,107216.66856870624,111560.356938144,109665.86371625263,106786.71995834043
2025-05-24 20:00:00,107831.36374380375,107216.66856870624,111560.356938144,109665.86371625263
2025-05-25 20:00:00,108861.81037744327,107831.36374380375,107216.66856870624,111560.356938144
2025-05-26 20:00:00,109377.71513263129,108861.81037744327,107831.36374380375,107216.66856870624
2025-05-27 20:00:00,109068.45694901445,109377.71513263129,108861.81037744327,107831.36374380375
2025-05-28 20:00:00,107838.18431100152,109068.45694901445,109377.71513263129,108861.81037744327
2025-05-29 20:00:00,105745.41660358038,107838.18431100152,109068.45694901445,109377.71513263129
2025-05-30 20:00:00,104010.91956242644,105745.41660358038,107838.18431100152,109068.45694901445
2025-05-31 20:00:00,104687.50742934884,104010.91956242644,105745.41660358038,107838.18431100152
2025-06-01 20:00:00,105710.00593822816,104687.50742934884,104010.91956242644,105745.41660358038
2025-06-02 20:00:00,105884.74263221149,105710.00593822816,104687.50742934884,104010.91956242644
2025-06-03 20:00:00,105434.47745144971,105884.74263221149,105710.00593822816,104687.50742934884
2025-06-04 20:00:00,104812.9182188067,105434.47745144971,105884.74263221149,105710.00593822816
2025-06-05 20:00:00,101650.7387545425,104812.9182188067,105434.47745144971,105884.74263221149
2025-06-06 20:00:00,104409.74967959142,101650.7387545425,104812.9182188067,105434.47745144971
2025-06-07 20:00:00,105681.4546141758,104409.74967959142,101650.7387545425,104812.9182188067
2025-06-08 20:00:00,105692.24740699006,105681.4546141758,104409.74967959142,101650.7387545425
2025-06-09 20:00:00,110261.57485948496,105692.24740699006,105681.4546141758,104409.74967959142
2025-06-10 20:00:00,110212.73252109604,110261.57485948496,105692.24740699006,105681.4546141758
2025-06-11 20:00:00,108679.9760916168,110212.73252109604,110261.57485948496,105692.24740699006
2025-06-12 20:00:00,105979.22902375912,108679.9760916168,110212.73252109604,110261.57485948496
2025-06-13 20:00:00,106045.56440819203,105979.22902375912,108679.9760916168,110212.73252109604
2025-06-14 20:00:00,105482.90611628917,106045.56440819203,105979.22902375912,108679.9760916168
2025-06-15 20:00:00,105554.49383061715,105482.90611628917,106045.56440819203,105979.22902375912
2025-06-16 20:00:00,106951.2720181497,105554.49383061715,105482.90611628917,106045.56440819203
2025-06-17 20:00:00,104683.42479835715,106951.2720181497,105554.49383061715,105482.90611628917
2025-06-18 20:00:00,104722.695052907,104683.42479835715,106951.2720181497,105554.49383061715
2025-06-19 20:00:00,104690.65002458123,104722.695052907,104683.42479835715,106951.2720181497
2025-06-20 20:00:00,103290.105144757,104690.65002458123,104722.695052907,104683.42479835715
2025-06-21 20:00:00,101532.5683847329,103290.105144757,104690.65002458123,104722.695052907
2025-06-22 20:00:00,100852.58264648831,101532.5683847329,103290.105144757,104690.65002458123
2025-06-23 20:00:00,105511.62437933135,100852.58264648831,101532.5683847329,103290.105144757
2025-06-24 20:00:00,105976.06929808448,105511.62437933135,100852.58264648831,101532.5683847329
2025-06-25 20:00:00,107238.53045016268,105976.06929808448,105511.62437933135,100852.58264648831
2025-06-26 20:00:00,106984.01253775663,107238.53045016268,105976.06929808448,105511.62437933135
2025-06-27 20:00:00,107078.91560644074,106984.01253775663,107238.53045016268,105976.06929808448
2025-06-28 20:00:00,107331.58548463577,107078.91560644074,106984.01253775663,107238.53045016268
2025-06-29 20:00:00,108396.61631317894,107331.58548463577,107078.91560644074,106984.01253775663
2025-06-30 20:00:00,107132.79910701896,108396.61631317894,107331.58548463577,107078.91560644074
2025-07-01 20:00:00,105613.39974163055,107132.79910701896,108396.61631317894,107331.58548463577
2025-07-02 20:00:00,108824.44423167943,105613.39974163055,107132.79910701896,108396.61631317894
2025-07-03 20:00:00,109602.20483914016,108824.44423167943,105613.39974163055,107132.79910701896
2025-07-04 20:00:00,108040.8919400104,109602.20483914016,108824.44423167943,105613.39974163055
2025-07-05 20:00:00,108217.46849992426,108040.8919400104,109602.20483914016,108824.44423167943
2025-07-06 20:00:00,109215.19771840284,108217.46849992426,108040.8919400104,109602.20483914016
2025-07-07 20:00:00,108300.71675785031,109215.19771840284,108217.46849992426,108040.8919400104
2025-07-08 20:00:00,108953.19187727802,108300.71675785031,109215.19771840284,108217.46849992426
2025-07-09 20:00:00,111327.53054245669,108953.19187727802,108300.71675785031,109215.19771840284
2025-07-10 20:00:00,115879.65030112496,111327.53054245669,108953.19187727802,108300.71675785031
2025-07-11 20:00:00,117571.02510036016,115879.65030112496,111327.53054245669,108953.19187727802
2025-07-12 20:00:00,117418.95745007684,117571.02510036016,115879.65030112496,111327.53054245669
2025-07-13 20:00:00,119117.55666327637,117418.95745007684,117571.02510036016,115879.65030112496
2025-07-14 20:00:00,119833.67446712355,119117.55666327637,117418.95745007684,117571.02510036016
2025-07-15 20:00:00,117678.19493404306,119833.67446712355,119117.55666327637,117418.95745007684
2025-07-16 20:00:00,118748.1627367753,117678.19493404306,119833.67446712355,119117.55666327637
2025-07-17 20:00:00,119445.36520434043,118748.1627367753,117678.19493404306,119833.67446712355
